time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw
8.560,9.072,-1.134,1.888,57.434,-17.212,17.395,-2.4,-74.6,72.8
8.570,9.527,-1.728,1.232,66.589,-20.996,18.677,-2.6,-74.8,73.7
8.580,9.801,-2.080,0.992,73.608,-21.606,18.921,-2.9,-75.1,74.8
8.590,9.834,-2.061,0.989,77.698,-20.447,18.188,-3.3,-75.3,75.9
8.600,10.146,-1.596,1.202,80.750,-18.860,16.174,-3.5,-75.6,76.9
8.610,10.179,-0.825,1.335,80.811,-18.311,13.489,-3.5,-75.8,77.7
8.620,10.287,-0.053,1.447,80.261,-18.677,11.902,-3.3,-76.1,78.4
8.630,10.443,0.815,1.454,80.322,-18.372,11.658,-3.0,-76.3,78.9
8.640,10.323,1.289,1.491,80.750,-13.855,12.268,-2.5,-76.5,79.2
8.650,10.123,1.339,1.819,81.543,-8.911,13.855,-2.0,-76.6,79.6
8.660,9.923,1.000,1.948,82.153,-8.850,15.381,-1.6,-76.7,80.0
8.670,9.897,0.469,1.770,81.970,-11.902,15.381,-1.2,-76.9,80.5
8.680,9.850,0.044,1.354,80.261,-15.137,14.709,-1.0,-77.0,81.1
8.690,9.913,-0.416,1.007,79.285,-16.846,14.160,-0.9,-77.2,81.7
8.700,9.995,-0.797,0.800,79.895,-16.907,13.550,-0.8,-77.5,82.5
8.710,10.033,-0.837,0.764,81.909,-16.052,13.428,-0.8,-77.7,83.3
8.720,10.157,-0.677,0.628,84.839,-13.489,14.160,-0.7,-77.9,84.1
8.730,10.182,-0.483,0.815,87.097,-9.521,15.381,-0.7,-78.1,84.9
8.740,10.118,-0.415,1.288,88.928,-7.507,16.235,-0.7,-78.2,85.8
8.750,9.892,-0.099,1.889,91.125,-6.531,16.785,-0.6,-78.3,86.7
8.760,9.693,0.168,2.210,92.773,-7.813,17.029,-0.5,-78.4,87.6
8.770,9.529,0.298,2.071,93.872,-9.521,16.174,-0.3,-78.4,88.3
8.780,9.478,0.335,1.919,93.994,-8.850,15.442,-0.1,-78.5,89.0
8.790,9.491,0.178,1.752,92.773,-6.714,15.015,0.2,-78.6,89.7
8.800,9.646,-0.035,1.679,90.759,-4.395,15.625,0.4,-78.7,90.5
8.810,9.739,-0.131,1.499,88.562,-2.686,15.625,0.5,-78.7,91.3
8.820,9.762,-0.088,1.247,86.426,-1.160,16.296,0.5,-78.8,92.1
8.830,9.745,0.114,1.008,85.449,0.366,16.296,0.5,-78.8,93.0
8.840,9.665,0.238,0.819,85.327,2.136,15.564,0.6,-78.8,93.7
8.850,9.497,0.382,0.849,85.510,3.845,15.015,0.8,-78.8,94.4
8.860,9.342,0.226,1.061,86.060,3.784,14.465,1.0,-78.9,95.1
