BTS G-STUDIO File

--------------------------------------------------------
Versione File:		5
Sensor type:		GS2
Accelerometro (g):	±2
Magnetico (uT):	OFF
Giroscopio (°/s):	±2000
Frequenza (Hz):		100
GPS (Hz):		OFF
Informazioni sull’orientamento:	ON
Frames:	946
--------------------------------------------------------

Time		Acc.			Gyro.		Roll	Pitch	Yaw
t(s)	X(m/s²)	Y(m/s²)	Z(m/s²)	X(°/s)	Y(°/s)	Z(°/s)	(°)	(°)	(°)
0.940	9.281	-0.247	2.898	0.488	0.732	-0.061	-4.6	-72.3	142.7
0.950	9.252	-0.288	2.936	0.427	0.671	0.000	-4.6	-72.3	142.7
0.960	9.265	-0.306	2.899	0.549	0.732	0.000	-4.6	-72.3	142.7
0.970	9.200	-0.326	2.914	0.671	0.916	0.061	-4.6	-72.3	142.7
0.980	9.231	-0.315	2.911	0.549	0.916	0.000	-4.6	-72.3	142.7
0.990	9.227	-0.271	2.867	0.488	0.732	0.000	-4.6	-72.3	142.7
1.000	9.210	-0.254	2.932	0.366	0.793	0.000	-4.6	-72.3	142.7
1.010	9.264	-0.245	2.908	0.427	0.916	0.061	-4.6	-72.3	142.7
1.020	9.267	-0.254	2.864	0.427	1.099	0.244	-4.6	-72.3	142.8
1.030	9.278	-0.233	2.917	0.488	1.221	0.366	-4.6	-72.3	142.8
1.040	9.222	-0.240	2.855	0.549	1.404	0.427	-4.6	-72.3	142.8
1.050	9.241	-0.271	2.900	0.610	1.404	0.427	-4.6	-72.3	142.8
1.060	9.194	-0.343	2.899	0.610	1.099	0.305	-4.6	-72.3	142.8
1.070	9.203	-0.265	2.853	0.671	0.854	0.183	-4.7	-72.3	142.8
1.080	9.179	-0.287	2.930	0.793	0.732	0.122	-4.7	-72.3	142.8
1.090	9.213	-0.246	2.906	0.671	0.793	0.244	-4.7	-72.3	142.8
1.100	9.228	-0.204	2.979	0.671	1.099	0.305	-4.7	-72.3	142.8
1.110	9.235	-0.227	2.912	0.549	1.343	0.244	-4.7	-72.3	142.8
1.120	9.225	-0.242	2.875	0.549	1.160	0.122	-4.7	-72.2	142.8
1.130	9.215	-0.240	2.887	0.488	0.916	0.122	-4.7	-72.2	142.9
1.140	9.273	-0.230	2.850	0.488	0.916	0.061	-4.7	-72.2	142.9
1.150	9.246	-0.262	2.866	0.366	0.854	0.122	-4.7	-72.2	142.9
1.160	9.266	-0.246	2.886	0.427	0.793	0.122	-4.7	-72.2	142.9
1.170	9.233	-0.256	2.912	0.610	0.732	0.183	-4.7	-72.2	142.9
1.180	9.258	-0.269	2.896	0.610	0.732	0.244	-4.7	-72.2	142.9
1.190	9.246	-0.297	2.918	0.610	0.977	0.366	-4.7	-72.2	142.9
1.200	9.227	-0.296	2.886	0.610	1.160	0.427	-4.7	-72.2	142.9
1.210	9.178	-0.315	2.899	0.549	1.343	0.183	-4.7	-72.2	142.9
1.220	9.149	-0.280	2.914	0.671	1.038	0.061	-4.7	-72.2	142.9
1.230	9.176	-0.299	2.862	0.732	0.671	0.061	-4.7	-72.2	142.9
1.240	9.166	-0.239	2.978	0.671	0.488	0.061	-4.7	-72.2	142.9
1.250	9.182	-0.251	2.940	0.854	0.244	0.061	-4.7	-72.2	143.0
1.260	9.204	-0.241	2.953	0.916	0.244	0.183	-4.7	-72.2	143.0
1.270	9.188	-0.284	2.960	0.977	0.366	0.366	-4.7	-72.2	143.0
1.280	9.202	-0.343	2.983	1.038	0.488	0.427	-4.8	-72.2	143.0
1.290	9.198	-0.299	2.915	1.038	0.366	0.427	-4.8	-72.2	143.0
1.300	9.233	-0.262	2.911	0.916	0.671	0.366	-4.8	-72.2	143.0
1.310	9.240	-0.234	2.929	0.854	0.916	0.427	-4.8	-72.2	143.0
1.320	9.248	-0.262	2.979	0.549	1.160	0.427	-4.8	-72.2	143.1
1.330	9.255	-0.253	2.929	0.366	1.038	0.427	-4.8	-72.2	143.1
1.340	9.196	-0.196	2.947	0.366	1.038	0.244	-4.8	-72.2	143.1
1.350	9.191	-0.204	2.958	0.244	1.038	0.061	-4.8	-72.2	143.1
1.360	9.202	-0.232	2.949	0.183	0.916	0.122	-4.8	-72.2	143.1
1.370	9.182	-0.247	2.946	0.244	0.671	0.122	-4.8	-72.2	143.1
1.380	9.239	-0.297	2.947	0.305	0.549	-0.061	-4.8	-72.2	143.1
1.390	9.267	-0.283	2.843	0.366	0.549	-0.061	-4.8	-72.2	143.1
1.400	9.271	-0.305	2.941	0.366	0.671	0.061	-4.8	-72.2	143.1
1.410	9.235	-0.290	2.899	0.366	0.610	0.244	-4.8	-72.2	143.1
1.420	9.265	-0.320	2.954	0.488	0.732	0.244	-4.8	-72.2	143.1
1.430	9.227	-0.281	2.885	0.610	0.732	0.366	-4.9	-72.2	143.1
1.440	9.173	-0.276	2.940	0.549	0.610	0.366	-4.9	-72.2	143.1
1.450	9.199	-0.263	2.971	0.610	0.610	0.305	-4.9	-72.2	143.1
1.460	9.184	-0.254	2.926	0.549	0.549	0.305	-4.9	-72.2	143.1
1.470	9.229	-0.228	2.921	0.488	0.793	0.366	-4.9	-72.2	143.1
1.480	9.184	-0.281	2.934	0.366	0.793	0.244	-4.9	-72.2	143.2
1.490	9.218	-0.272	2.943	0.305	0.671	0.244	-4.9	-72.2	143.2
1.500	9.207	-0.288	2.934	0.122	0.671	0.183	-4.9	-72.2	143.2
1.510	9.216	-0.296	2.977	0.122	0.732	0.061	-4.9	-72.2	143.2
1.520	9.200	-0.287	3.019	0.244	0.732	0.000	-4.9	-72.2	143.2
1.530	9.166	-0.265	2.952	0.305	0.610	0.061	-4.9	-72.2	143.2
1.540	9.224	-0.274	3.012	0.305	0.549	0.061	-4.9	-72.2	143.2
1.550	9.211	-0.308	2.945	0.366	0.488	0.061	-4.9	-72.2	143.2
1.560	9.217	-0.295	2.928	0.488	0.549	0.122	-4.9	-72.2	143.2
1.570	9.215	-0.327	2.869	0.549	0.427	0.122	-4.9	-72.2	143.2
1.580	9.236	-0.283	2.910	0.671	0.488	0.122	-4.9	-72.2	143.2
1.590	9.223	-0.306	2.971	0.671	0.427	0.122	-5.0	-72.2	143.2
1.600	9.213	-0.270	2.912	0.549	0.427	0.183	-5.0	-72.2	143.2
1.610	9.203	-0.241	2.923	0.366	0.366	0.183	-5.0	-72.2	143.2
1.620	9.223	-0.198	2.934	0.244	0.183	0.244	-5.0	-72.2	143.2
1.630	9.210	-0.206	2.929	0.000	0.244	0.122	-5.0	-72.2	143.2
1.640	9.224	-0.204	2.894	-0.183	0.427	0.122	-5.0	-72.2	143.2
1.650	9.205	-0.233	2.908	-0.305	0.610	0.183	-5.0	-72.2	143.2
1.660	9.241	-0.251	2.934	-0.305	0.793	0.122	-5.0	-72.2	143.2
1.670	9.240	-0.264	2.945	-0.183	0.854	0.061	-5.0	-72.2	143.2
1.680	9.219	-0.339	2.966	-0.122	0.854	-0.061	-5.0	-72.2	143.2
1.690	9.230	-0.307	2.939	0.122	0.671	0.000	-5.0	-72.2	143.2
1.700	9.229	-0.301	2.972	0.305	0.549	-0.061	-5.0	-72.2	143.2
1.710	9.207	-0.339	2.942	0.366	0.610	0.061	-5.0	-72.2	143.2
1.720	9.157	-0.374	2.969	0.305	0.549	0.000	-5.0	-72.2	143.2
1.730	9.200	-0.315	2.905	0.305	0.427	-0.061	-5.0	-72.2	143.2
1.740	9.197	-0.259	2.963	0.244	0.549	0.000	-5.0	-72.2	143.2
1.750	9.213	-0.206	2.867	0.244	0.427	0.061	-5.0	-72.2	143.2
1.760	9.212	-0.206	2.915	0.122	0.366	0.061	-5.0	-72.2	143.2
1.770	9.203	-0.205	2.935	0.122	0.183	0.305	-5.0	-72.2	143.2
1.780	9.212	-0.263	2.972	0.061	0.122	0.244	-5.0	-72.2	143.2
1.790	9.266	-0.281	3.019	0.000	0.244	0.122	-5.0	-72.2	143.2
1.800	9.251	-0.263	3.022	0.000	0.549	0.061	-5.0	-72.2	143.2
1.810	9.222	-0.251	2.957	0.000	0.793	0.061	-5.0	-72.2	143.2
1.820	9.224	-0.290	2.936	0.061	0.916	-0.061	-5.0	-72.2	143.2
1.830	9.200	-0.315	2.960	0.183	0.977	0.000	-5.0	-72.2	143.2
1.840	9.222	-0.344	2.914	0.427	0.793	-0.061	-5.0	-72.2	143.2
1.850	9.184	-0.311	2.930	0.427	0.610	0.000	-5.1	-72.2	143.3
1.860	9.192	-0.329	2.923	0.549	0.610	0.061	-5.1	-72.2	143.3
1.870	9.205	-0.271	2.936	0.488	0.732	0.122	-5.1	-72.2	143.3
1.880	9.218	-0.272	2.914	0.366	0.732	0.244	-5.1	-72.2	143.3
1.890	9.257	-0.280	2.930	0.244	0.488	0.244	-5.1	-72.2	143.3
1.900	9.212	-0.247	2.964	0.183	0.488	0.183	-5.1	-72.2	143.3
1.910	9.241	-0.289	2.989	0.183	0.549	0.122	-5.1	-72.2	143.3
1.920	9.235	-0.260	2.988	0.244	0.610	0.061	-5.1	-72.2	143.3
1.930	9.210	-0.305	2.941	0.305	0.549	0.061	-5.1	-72.2	143.3
1.940	9.202	-0.302	2.969	0.366	0.549	0.061	-5.1	-72.2	143.3
1.950	9.184	-0.302	2.953	0.427	0.671	0.061	-5.1	-72.2	143.3
1.960	9.215	-0.276	2.936	0.427	0.549	-0.122	-5.1	-72.2	143.3
1.970	9.186	-0.275	2.942	0.427	0.732	0.000	-5.1	-72.2	143.3
1.980	9.192	-0.254	2.930	0.366	0.854	0.061	-5.1	-72.2	143.3
1.990	9.236	-0.266	2.946	0.244	0.732	0.061	-5.1	-72.2	143.3
2.000	9.221	-0.251	2.874	0.122	0.732	0.061	-5.1	-72.2	143.3
2.010	9.217	-0.271	2.963	0.061	0.549	0.061	-5.1	-72.2	143.3
2.020	9.202	-0.296	2.914	-0.183	0.366	0.061	-5.1	-72.2	143.3
2.030	9.198	-0.309	2.930	-0.305	0.549	0.061	-5.1	-72.2	143.3
2.040	9.211	-0.315	2.904	-0.122	0.549	0.122	-5.1	-72.2	143.3
2.050	9.178	-0.308	2.929	0.061	0.549	0.061	-5.1	-72.2	143.3
2.060	9.215	-0.338	2.917	0.122	0.610	0.061	-5.2	-72.2	143.3
2.070	9.234	-0.319	2.949	0.183	0.549	0.061	-5.2	-72.2	143.3
2.080	9.202	-0.331	2.955	0.305	0.610	0.000	-5.2	-72.2	143.3
